x_nm,energy_J,energy_eV,energy_level,source_file,case_label
0.0,5.301557063303124e-19,3.3089716519378,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
0.2153186586967558,5.301557063303124e-19,3.3089716519378,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
0.2153186586967558,5.301541073463563e-19,3.308961671864928,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
0.4416745786060164,5.301541073463563e-19,3.308961671864928,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
0.4416745786060164,5.301524202968066e-19,3.308951142129855,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
0.679633531109651,5.301524202968066e-19,3.308951142129855,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
0.679633531109651,5.301506357119913e-19,3.308940003627536,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
0.929790289100896,5.301506357119913e-19,3.308940003627536,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
0.929790289100896,5.30148742388147e-19,3.308928186429581,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
1.1927701136054416,5.30148742388147e-19,3.308928186429581,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
1.1927701136054416,5.301467270272476e-19,3.308915607536239,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
1.4692303166068792,5.301467270272476e-19,3.308915607536239,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
1.4692303166068792,5.301445737726898e-19,3.3089021679783768,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
1.7598684806960985,5.301445737726898e-19,3.3089021679783768,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
1.7598684806960985,5.301422637115022e-19,3.308887749710512,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
2.065406483150724,5.301422637115022e-19,3.308887749710512,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
2.065406483150724,5.301397742304599e-19,3.3088722115919955,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
2.386606401594653,5.301397742304599e-19,3.3088722115919955,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
2.386606401594653,5.301370781526638e-19,3.3088553839979657,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
2.72427106778854,5.301370781526638e-19,3.3088553839979657,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
2.72427106778854,5.301341427362336e-19,3.3088370625696792,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
3.079245055722509,5.301341427362336e-19,3.3088370625696792,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
3.079245055722509,5.30130928395021e-19,3.3088170002298325,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
3.4524226939075646,5.30130928395021e-19,3.3088170002298325,Ec,Energy Diagram.csv,"Dark equilibrium, 300 K"
