x_nm,Dtrap_1000h,Nt_eff_cm3_1000h,case_label
29.0,0.9751427207949798,4.880837890370923e+17,"1.00 sun, 400 K"
29.211745081924665,0.9742622569543358,4.876439973486907e+17,"1.00 sun, 400 K"
29.211745081924665,0.9742622569543358,4.876439973486907e+17,"1.00 sun, 400 K"
29.434150423935616,0.9733072395978803,4.871669661791413e+17,"1.00 sun, 400 K"
29.434150423935616,0.9733072395978803,4.871669661791413e+17,"1.00 sun, 400 K"
29.667760417386287,0.9722699625476632,4.866488462925577e+17,"1.00 sun, 400 K"
29.667760417386287,0.9722699625476632,4.866488462925577e+17,"1.00 sun, 400 K"
29.913144392022,0.9711417962568388,4.860853272302909e+17,"1.00 sun, 400 K"
29.913144392022,0.9711417962568388,4.860853272302909e+17,"1.00 sun, 400 K"
30.170898284093656,0.9699130975625636,4.854715922325005e+17,"1.00 sun, 400 K"
30.170898284093656,0.9699130975625636,4.854715922325005e+17,"1.00 sun, 400 K"
30.44164628521592,0.9685730950729972,4.84802260988962e+17,"1.00 sun, 400 K"
30.44164628521592,0.9685730950729972,4.84802260988962e+17,"1.00 sun, 400 K"
30.726042498923835,0.9671097630607144,4.840713266488268e+17,"1.00 sun, 400 K"
30.726042498923835,0.9671097630607144,4.840713266488268e+17,"1.00 sun, 400 K"
31.024772624705736,0.9655096876090956,4.8327208896074323e+17,"1.00 sun, 400 K"
31.024772624705736,0.9655096876090956,4.8327208896074323e+17,"1.00 sun, 400 K"
31.338555684603417,0.9637579314056012,4.823970867370976e+17,"1.00 sun, 400 K"
31.338555684603417,0.9637579314056012,4.823970867370976e+17,"1.00 sun, 400 K"
31.66144431539657,0.9618777576555048,4.814579399489245e+17,"1.00 sun, 400 K"
31.66144431539657,0.9618777576555048,4.814579399489245e+17,"1.00 sun, 400 K"
31.975227375294253,0.959973797139498,4.805069116711792e+17,"1.00 sun, 400 K"
31.975227375294253,0.959973797139498,4.805069116711792e+17,"1.00 sun, 400 K"
32.273957501076154,0.9580897161903952,4.795658132371024e+17,"1.00 sun, 400 K"
