% Model,PSC_Degradation_CsFa_Ions_Degradation_v2.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 6 2026, 11:16"
% Dimension,1
% Nodes,2186
% Expressions,4
% Description,"Conduction band energy level, Valence band energy level, Electron quasi-Fermi energy level, Hole quasi-Fermi energy level"
% x,semi.Ec_e (J),semi.Ev_e (J),semi.Efn_e (J),semi.Efp_e (J)
0,5.301557063303123E-19,1.4374171103123315E-21,-7.115093554332929E-35,-6.698193541383734E-35
0.21531865869675587,5.301557063303123E-19,1.4374171103123315E-21,-7.115093554332929E-35,-6.698193541383734E-35
0.21531865869675587,5.301541073463563E-19,1.4358181263563414E-21,0,-2.2234667357290404E-35
0.44167457860601644,5.301541073463563E-19,1.4358181263563414E-21,0,-2.2234667357290404E-35
0.44167457860601644,5.301524202968066E-19,1.4341310768066913E-21,7.115093554332929E-35,6.475846867810831E-35
0.679633531109651,5.301524202968066E-19,1.4341310768066913E-21,7.115093554332929E-35,6.475846867810831E-35
0.679633531109651,5.301506357119912E-19,1.43234649199127E-21,-7.115093554332929E-35,-2.2790534041222663E-35
0.9297902891008961,5.301506357119912E-19,1.43234649199127E-21,-7.115093554332929E-35,-2.2790534041222663E-35
0.9297902891008961,5.30148742388147E-19,1.4304531681470808E-21,0,6.531433536204056E-35
1.1927701136054416,5.30148742388147E-19,1.4304531681470808E-21,0,6.531433536204056E-35
1.1927701136054416,5.301467270272476E-19,1.4284378072476594E-21,0,9.171800284882292E-36
1.4692303166068792,5.301467270272476E-19,1.4284378072476594E-21,0,9.171800284882292E-36
1.4692303166068792,5.301445737726898E-19,1.4262845526898567E-21,-7.115093554332929E-35,-5.781013512895505E-35
1.7598684806960985,5.301445737726898E-19,1.4262845526898567E-21,-7.115093554332929E-35,-5.781013512895505E-35
1.7598684806960985,5.301422637115022E-19,1.4239744915022562E-21,7.115093554332929E-35,4.6414868108343716E-35
2.0654064831507237,5.301422637115022E-19,1.4239744915022562E-21,7.115093554332929E-35,4.6414868108343716E-35
2.0654064831507237,5.301397742304598E-19,1.4214850104598018E-21,0,7.837720243444867E-35
2.3866064015946535,5.301397742304598E-19,1.4214850104598018E-21,0,7.837720243444867E-35
2.3866064015946535,5.301370781526637E-19,1.4187889326637798E-21,-1.4230187108665858E-34,2.1400867331392014E-35
2.72427106778854,5.301370781526637E-19,1.4187889326637798E-21,-1.4230187108665858E-34,2.1400867331392014E-35
2.72427106778854,5.301341427362335E-19,1.4158535162335654E-21,-1.4230187108665858E-34,5.0028001553903406E-36
3.0792450557225095,5.301341427362335E-19,1.4158535162335654E-21,-1.4230187108665858E-34,5.0028001553903406E-36
3.0792450557225095,5.301309283950209E-19,1.4126391750209114E-21,-7.115093554332929E-35,6.420260199417604E-35
3.4524226939075646,5.301309283950209E-19,1.4126391750209114E-21,-7.115093554332929E-35,6.420260199417604E-35
3.4524226939075646,5.301273871870599E-19,1.4090979670599793E-21,-1.4230187108665858E-34,1.250700038847585E-35
3.8447294642182057,5.301273871870599E-19,1.4090979670599793E-21,-1.4230187108665858E-34,1.250700038847585E-35
3.8447294642182057,5.301234608465047E-19,1.405171626504713E-21,0,1.3952253766699728E-34
4.257145928345258,5.301234608465047E-19,1.405171626504713E-21,0,1.3952253766699728E-34
4.257145928345258,5.301190782070086E-19,1.4007889870087037E-21,-1.4230187108665858E-34,2.6959534170714615E-35
4.690704950062076,5.301190782070086E-19,1.4007889870087037E-21,-1.4230187108665858E-34,2.6959534170714615E-35
4.690704950062076,5.301141520410193E-19,1.3958628210193396E-21,-2.8460374217331717E-34,7.615373569871963E-35
5.1464944315087,5.301141520410193E-19,1.3958628210193396E-21,-2.8460374217331717E-34,7.615373569871963E-35
5.1464944315087,5.301085750583401E-19,1.390285838340123E-21,-2.1345280662998787E-34,1.7509800543866193E-34
5.625647738436528,5.301085750583401E-19,1.390285838340123E-21,-2.1345280662998787E-34,1.7509800543866193E-34
5.625647738436528,5.301022148346675E-19,1.3839256146675852E-21,-4.269056132599757E-34,1.7704353883242483E-34
6.129337806904909,5.301022148346675E-19,1.3839256146675852E-21,-4.269056132599757E-34,1.7704353883242483E-34
6.129337806904909,5.300949964461283E-19,1.3767072261283048E-21,-2.8460374217331717E-34,3.257378767843044E-34
6.646162884835309,5.300949964461283E-19,1.3767072261283048E-21,-2.8460374217331717E-34,3.257378767843044E-34
6.646162884835309,5.300869395276211E-19,1.3686503076211163E-21,-4.269056132599757E-34,3.207350766289141E-34
7.165954202982333,5.300869395276211E-19,1.3686503076211163E-21,-4.269056132599757E-34,3.207350766289141E-34
7.165954202982333,5.300780085022875E-19,1.359719282287532E-21,-5.692074843466343E-34,3.8994047877848045E-34
7.688711005554233,5.300780085022875E-19,1.359719282287532E-21,-5.692074843466343E-34,3.8994047877848045E-34
7.688711005554233,5.300680996446169E-19,1.3498104246169737E-21,-7.826602909766222E-34,5.794910179993811E-34
8.212656312819288,5.300680996446169E-19,1.3498104246169737E-21,-7.826602909766222E-34,5.794910179993811E-34
8.212656312819288,5.300571160456449E-19,1.3388268256449424E-21,-8.538112265199515E-34,7.320764227387865E-34
8.736601620084347,5.300571160456449E-19,1.3388268256449424E-21,-8.538112265199515E-34,7.320764227387865E-34
8.736601620084347,5.3004493837551E-19,1.3266491555101185E-21,-1.2807168397799272E-33,7.832161576605545E-34
9.26054692734941,5.3004493837551E-19,1.3266491555101185E-21,-1.2807168397799272E-33,7.832161576605545E-34
9.26054692734941,5.300314221625044E-19,1.313132942504413E-21,-1.4941696464099151E-33,1.0308547653523763E-33
9.784492234614468,5.300314221625044E-19,1.313132942504413E-21,-1.4941696464099151E-33,1.0308547653523763E-33
9.784492234614468,5.300164074301235E-19,1.2981182101235266E-21,-1.7787733885832324E-33,1.3607616422661727E-33
10.308437541879526,5.300164074301235E-19,1.2981182101235266E-21,-1.7787733885832324E-33,1.3607616422661727E-33
