light_on,use_scan,time_s,current_density_mAcm2,time_ms
0,0,0.0,-2.445256057834137e-08,0.0
0,0,0.0001,-2.4263474861489946e-08,0.1
0,0,0.0002,-2.4263700912580786e-08,0.2
0,0,0.0003,-2.4263623874966883e-08,0.3
0,0,0.0004,-2.4263700374749983e-08,0.4
0,0,0.0005,-2.4263699672779547e-08,0.5
0,0,0.0006,-2.4263700278632608e-08,0.6
0,0,0.0006999999999999999,-2.4263699650593e-08,0.6999999999999998
0,0,0.0007999999999999999,-2.4263700294973935e-08,0.7999999999999999
0,0,0.0009,-2.426369965586552e-08,0.9
0,0,0.001,-8.728737222667936,1.0
0,0,0.0010999999999999,-9.159402690675168e-05,1.0999999999999002
0,0,0.0012,-9.326893855383524e-05,1.2
0,0,0.0013,-9.503952009263928e-05,1.3
0,0,0.0013999999999999,-9.667699502585356e-05,1.3999999999999
0,0,0.0014999999999999,-9.8236826336106e-05,1.4999999999999
0,0,0.0015999999999999,-9.980705526314e-05,1.5999999999999
0,0,0.0017,-0.00010119495769589335,1.7
0,0,0.0018,-0.00010266397129520878,1.8
0,0,0.0018999999999999,-0.00010378843537988089,1.8999999999999
0,0,0.002,-0.00010508552240725694,2.0
0,0,0.0021,-0.00010614204636886654,2.1
0,0,0.0021999999999999,-0.00010706893338061208,2.1999999999999
0,0,0.0023,-0.0001079694758428937,2.3
0,0,0.0024,-0.0001087993047109659,2.4
0,0,0.0024999999999999,-0.00010962566926934416,2.4999999999999
0,0,0.0026,-0.00011038824993332728,2.6
0,0,0.0026999999999999,-0.00011099485103863812,2.6999999999999
0,0,0.0027999999999999,-0.00011147389284832949,2.7999999999999
0,0,0.0029,-0.00011197442455351516,2.9
0,0,0.0029999999999999,-0.00011235294398664428,2.9999999999999
0,0,0.0031,-0.0001126967982449484,3.1
0,0,0.0031999999999999,-0.000112986580938047,3.1999999999999
0,0,0.0032999999999999,-0.00011329785420410035,3.2999999999999
0,0,0.0034,-0.00011356267717061878,3.4
0,0,0.0034999999999999,-0.00011369162264532616,3.4999999999999
0,0,0.0036,-0.0001138517654011893,3.6
0,0,0.0036999999999999,-0.00011393079631044914,3.6999999999999
0,0,0.0037999999999999,-0.00011393565036340984,3.7999999999999
0,0,0.0039,-0.00011398902989789698,3.9
0,0,0.004,-0.00011394535461812333,4.0
0,0,0.0040999999999999,-0.0001140243866366784,4.0999999999999
0,0,0.0042,-0.0001139391137810277,4.2
0,0,0.0043,-0.00011378105268230986,4.3
0,0,0.0043999999999999,-0.00011375886781890268,4.3999999999999
0,0,0.0045,-0.00011368122090799917,4.5
0,0,0.0046,-0.00011361466994703024,4.6
0,0,0.0046999999999999,-0.00011348156239162412,4.6999999999999
0,0,0.0048,-0.0001132063395056974,4.8
0,0,0.0049,-0.000113101659196169,4.8999999999999995
0,0,0.0049999999999999,-0.00011294428735655418,4.9999999999999005
0,0,0.0050999999999999,-0.00011277305304859976,5.0999999999999
0,0,0.0052,-0.00011270719266626465,5.2
0,0,0.0052999999999999,-0.00011244583368215838,5.2999999999999
0,0,0.0053999999999999,-0.00011225796075712949,5.3999999999999
0,0,0.0055,-0.00011203334578599012,5.5
0,0,0.0055999999999999,-0.00011179971684835776,5.5999999999999
0,0,0.0056999999999999,-0.0001115723285234844,5.6999999999999
0,0,0.0058,-0.00011136851084415732,5.8
0,0,0.0059,-0.00011120212741279417,5.8999999999999995
0,0,0.0059999999999999,-0.0001109518610115242,5.9999999999999005
0,0,0.0060999999999999,-0.0001107619094223042,6.0999999999999
0,0,0.0062,-0.00011050540311530944,6.2
0,0,0.0062999999999999,-0.00011032307575556792,6.2999999999999
0,0,0.0063999999999999,-0.00011008875517526751,6.3999999999999
0,0,0.0065,-0.0001099410894025618,6.5
0,0,0.0065999999999999,-0.00010961733782409229,6.5999999999999
0,0,0.0066999999999999,-0.00010938371001242566,6.6999999999999
0,0,0.0068,-0.00010924505772412783,6.8
0,0,0.0068999999999999,-0.0001089344776812736,6.8999999999999
0,0,0.0069999999999999,-0.00010871402312906992,6.9999999999999005
0,0,0.0070999999999999,-0.00010845682414993102,7.0999999999999
0,0,0.0072,-0.00010829113423694632,7.2
0,0,0.0072999999999999,-0.00010807830365576864,7.2999999999999
0,0,0.0073999999999999,-0.00010782387695067932,7.3999999999999
0,0,0.0075,-0.00010766096191701472,7.5
0,0,0.0075999999999999,-0.00010745090392843035,7.5999999999999
0,0,0.0076999999999999,-0.00010719231912956174,7.6999999999999
0,0,0.0078,-0.0001068796594291835,7.8
0,0,0.0078999999999999,-0.00010676388618029998,7.8999999999999
0,0,0.008,-0.00010657809024288196,8.0
0,0,0.0081,-0.00010620095925984836,8.1
0,0,0.0081999999999999,-0.00010602209893160876,8.1999999999999
0,0,0.0083,-0.00010590077722142276,8.3
0,0,0.0084,-0.00010557286787051058,8.4
0,0,0.0084999999999999,-0.00010543213413127616,8.4999999999999
0,0,0.0086,-0.00010521167829846208,8.6
0,0,0.0087,-0.00010503697674557676,8.7
0,0,0.0087999999999999,-0.00010477492497728202,8.7999999999999
0,0,0.0089,-0.0001045510031714925,8.9
0,0,0.009,-0.00010435827741042268,9.0
0,0,0.0090999999999999,-0.0001040657227335975,9.0999999999999
0,0,0.0092,-0.0001037960455280733,9.2
0,0,0.0093,-0.00010368096392807536,9.299999999999999
0,0,0.0093999999999999,-0.00010344941461677958,9.399999999999899
0,0,0.0095,-0.00010319152517884404,9.5
0,0,0.0096,-0.00010307505577697866,9.6
0,0,0.0096999999999999,-0.00010282478928001708,9.6999999999999
0,0,0.0098,-0.00010270624160879625,9.799999999999999
0,0,0.0098999999999999,-0.00010244626895001225,9.8999999999999
0,0,0.0099999999999999,-0.0001021758999030226,9.999999999999899
0,0,0.0101,-0.00010202268915528212,10.1
0,0,0.0101999999999999,-0.00010184798755710216,10.1999999999999
0,0,0.0102999999999999,-0.00010163862297779844,10.2999999999999
0,0,0.0104,-0.00010139390410153896,10.4
0,0,0.0104999999999999,-0.00010124415852940672,10.4999999999999
0,0,0.0105999999999999,-0.00010105489969418604,10.5999999999999
0,0,0.0107,-0.00010082543026572356,10.7
0,0,0.0107999999999999,-0.0001005495141362612,10.7999999999999
0,0,0.0108999999999999,-0.00010048712076558095,10.899999999999899
0,0,0.011,11.960430750383594,11.0
0,0,0.0110999999999999,0.0015537854927784,11.0999999999999
0,0,0.0111999999999999,0.0014271900268499,11.1999999999999
0,0,0.0113,0.0013102267028049,11.299999999999999
0,0,0.0113999999999999,0.0012017398704221,11.399999999999899
0,0,0.0115,0.0011016262136538,11.5
0,0,0.0116,0.0010091439646424,11.6
0,0,0.0116999999999999,0.000924148911273742,11.6999999999999
0,0,0.0118,0.0008458646258156013,11.799999999999999
0,0,0.0118999999999999,0.0007742453251519191,11.8999999999999
0,0,0.0119999999999999,0.0007086677857476083,11.9999999999999
0,0,0.0121,0.0006490349486897289,12.1
0,0,0.0121999999999999,0.0005945842295288065,12.1999999999999
0,0,0.0122999999999999,0.0005449565190525421,12.2999999999999
0,0,0.0124,0.0005000977427670025,12.4
0,0,0.0124999999999999,0.0004591579653234766,12.4999999999999
0,0,0.0125999999999999,0.0004221503602713476,12.5999999999999
0,0,0.0127,0.00038861321118267,12.7
0,0,0.0127999999999999,0.0003582595118838413,12.7999999999999
0,0,0.0128999999999999,0.00033071836941418243,12.899999999999899
0,0,0.013,0.00030570485340495566,13.0
0,0,0.0130999999999999,0.000283042875541424,13.0999999999999
0,0,0.0131999999999999,0.0002625251476819493,13.1999999999999
0,0,0.0133,0.00024381544587514495,13.299999999999999
0,0,0.0133999999999999,0.0002268513691785284,13.399999999999899
0,0,0.0134999999999999,0.00021135354014361596,13.499999999999899
0,0,0.0136,0.0001972692676728513,13.6
0,0,0.0136999999999999,0.00018427479869394375,13.6999999999999
0,0,0.0137999999999999,0.00017249492597282013,13.7999999999999
0,0,0.0139,0.0001616682785119544,13.899999999999999
0,0,0.0139999999999999,0.00015163264887614397,13.9999999999999
0,0,0.0140999999999999,0.0001425523260265536,14.0999999999999
0,0,0.0141999999999999,0.00013416803724197003,14.1999999999999
0,0,0.0142999999999999,0.00012636262216477405,14.2999999999999
0,0,0.0144,0.00011927195532154856,14.4
0,0,0.0144999999999999,0.0001127005431463965,14.4999999999999
0,0,0.0145999999999999,0.00010649378316773288,14.5999999999999
0,0,0.0147,0.00010087352418188374,14.7
0,0,0.0147999999999999,9.562762289120111e-05,14.7999999999999
0,0,0.0148999999999999,9.062367056592697e-05,14.899999999999899
0,0,0.015,8.59205965158153e-05,15.0
0,0,0.0150999999999999,8.173607656578502e-05,15.0999999999999
0,0,0.0151999999999999,7.77810260554124e-05,15.1999999999999
0,0,0.0153,7.390431663612185e-05,15.299999999999999
0,0,0.0153999999999999,7.046921172238796e-05,15.399999999999899
0,0,0.0154999999999999,6.715750659805866e-05,15.499999999999899
0,0,0.0156,6.403506261874712e-05,15.6
0,0,0.0157,6.107553483358261e-05,15.7
0,0,0.0157999999999999,5.8357956214254855e-05,15.799999999999901
0,0,0.0158999999999999,5.5776253799228056e-05,15.8999999999999
0,0,0.016,5.328675593572483e-05,16.0
0,0,0.0161,5.101494311099805e-05,16.1
0,0,0.0162,4.880552294274951e-05,16.2
0,0,0.0163,4.679506655350759e-05,16.299999999999997
0,0,0.0163999999999999,4.476034908649447e-05,16.3999999999999
0,0,0.0164999999999999,4.28656681262674e-05,16.4999999999999
0,0,0.0166,4.106042127361987e-05,16.6
0,0,0.0167,3.945898728327781e-05,16.7
0,0,0.0168,3.782913419223756e-05,16.8
0,0,0.0169,3.625196767295207e-05,16.9
0,0,0.0169999999999999,3.484395558745958e-05,16.9999999999999
0,0,0.0170999999999999,3.3480313244060144e-05,17.0999999999999
0,0,0.0172,3.218946020656966e-05,17.2
0,0,0.0173,3.089237228850187e-05,17.3
0,0,0.0174,2.979355380327613e-05,17.4
0,0,0.0174999999999999,2.858381393502606e-05,17.4999999999999
0,0,0.0175999999999999,2.750648924861605e-05,17.599999999999902
0,0,0.0176999999999999,2.6416682537169523e-05,17.6999999999999
0,0,0.0178,2.545444028785748e-05,17.8
0,0,0.0179,2.450467048180544e-05,17.9
0,0,0.018,2.3603433395943724e-05,18.0
0,0,0.0180999999999999,2.2661986839753257e-05,18.099999999999902
0,0,0.0181999999999999,2.186820155691048e-05,18.1999999999999
0,0,0.0182999999999999,2.10238125487138e-05,18.2999999999999
0,0,0.0184,2.034025661819168e-05,18.4
0,0,0.0185,1.9635209338124493e-05,18.5
0,0,0.0186,1.887123756369304e-05,18.599999999999998
0,0,0.0186999999999999,1.815094177104199e-05,18.6999999999999
0,0,0.0187999999999999,1.7585240550314794e-05,18.7999999999999
0,0,0.0188999999999999,1.6894057005583157e-05,18.8999999999999
0,0,0.019,1.63339072039657e-05,19.0
0,0,0.0191,1.5768896252370116e-05,19.099999999999998
0,0,0.0192,1.507563851201344e-05,19.2
0,0,0.0192999999999999,1.452103120290374e-05,19.2999999999999
0,0,0.0193999999999999,1.3999699754540054e-05,19.3999999999999
0,0,0.0195,1.366069313054439e-05,19.5
0,0,0.0196,1.3128269799860532e-05,19.599999999999998
0,0,0.0197,1.2562570180936722e-05,19.7
0,0,0.0197999999999999,1.2265855102826216e-05,19.7999999999999
0,0,0.0198999999999999,1.1745908307505885e-05,19.8999999999999
0,0,0.0199999999999999,1.143948800320936e-05,19.9999999999999
0,0,0.0201,1.1000654312771565e-05,20.1
0,0,0.0202,1.0608268387436e-05,20.2
0,0,0.0203,1.0181221687487332e-05,20.299999999999997
0,0,0.0203999999999999,9.912235348874906e-06,20.3999999999999
0,0,0.0204999999999999,9.458842809459116e-06,20.4999999999999
0,0,0.0205999999999999,9.150344427491746e-06,20.5999999999999
0,0,0.0207,8.92087157793915e-06,20.7
0,0,0.0208,8.570778081184338e-06,20.8
